x,P
-6158,0.00201
-5391,0.01003
-5275,0.01991
-5161,0.0402
-5068,0.0593
-4986,0.0803
-4916,0.1007
-4638,0.2015
-4386,0.325
-4094,0.508
-3862,0.683
-3619,0.908
-3380,1.178
-3210,1.41
-3036,1.682
-2909,1.899
-2849,2.02
-2703,2.303
-2603,2.519
-2495,2.75
-2405,2.93
-2311,3.12
-2158,3.4
-2027,3.62
-1874,3.83
-1691,4.03
-1526,4.16
-1226,4.32
-928,4.38
-250,4.42
479,4.41
