车型-列车号,故障情况,处理情况
AC05-0415,工作令号:四日-2022-8-3 040883 3号车门故障,读取故障，故障记录为DC5、DC6、DC7，更换040883车3号车门处一个从门控制器和一个传动电机后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（从门控制器 厂商：IFE 型号：PMC20-110R）（传动电机 型号规格：N300406R24 生产厂商/品牌：IFE）（备件为返修件） 旧件：ZE4530023969 1452（服：5399342） 新件：ZE4530001298 0937（部：5399344）
AC05-0424,工作令号:四临-2022-8-21 02022-08-26 16:12 16:12 上海体育馆上行40590次0424#车开门侧运行端3-1车门显示红色故障,日检上车确认故障，跟车保驾回库，回库后读取故障记录为DC43（门锁闭装置故障），检查车门限位开关正常，锁闭装置正常，传动装置正常，进一步检查为主门控器故障，更换一个主门控器（MDCU）后多次开关门试验正常。（日检三班）（备件来源：中车申通）（备件为返修件）（型号：MK7065 生产厂商：南京康尼机电股份有限公司）（新件序列号：0508200024901150500009（部：4588125），旧件序列号：05082000249011A1400024（服：5438992）
AC05-0413,工作令号:四临-2022-8-22 02022-08-31 17:42 四号线浦东大道站下行0413#车，列车左门侧第29扇车门显示红色故障。,日检上车确认040731车4号车门切除到位，跟车保驾回库，回库后读取故障记录为DC4（3秒钟内车门不解锁）、DC8（DCU内部安全继电器故障）、DC18（DCU中的输出端A7短路），调取录像发现车门不能正常开启，检查限位开关及传动机构均正常，更换040731车4号车门1个从门控制器后，多次开关门测试正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（备件为返修件）（从门控制器 厂商：IFE 型号：PMC20-110R） 旧件序列号：ZE234213 0548（服：5443927） 新件序列号：ZE4530014406 1320（部：5260486） 现将040731车4门与6门从门控制器互换，现4门从门控制器序列号为SN10150066，6门从门控制器序列号为ZE4530014406 1320。
AC05-0411,工作令号:四临-2022-9-7 02022-09-15 06:44 四号线曹杨路站上行41690次0411#车5-5车门故障被切除,日检上车确认车门切除到位，回库后读取故障记录为DC44（不能打开车门），调取录像发现车门不能正常开启，检查限位开关及传动机构均正常，更换040652车1号车门1个主门控制器后，多次开关门测试正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（客室车门控制器(MDCU) 型号：MK7065 厂商：南京康尼机电股份有限公司） 旧件序列号：312902003007690020B2000562（服:5469702） 新件序列号：312902003009560021A3001194 现将040643车1号车门与040652车1号车门主门控器互换，现040643车1号车门序列号：312902003009560021A3001194，040652车1号车门序列号：312902003007690019A2800625 备注：新件为全新件，无部件修工单
AC05-0405,工作令号:四日-2022-9-24 040283 3号车门故障,读取故障代码为DC8（内部继电器故障），更换040283车3号车门处一个从门控制器后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（从门控制器 型号：PMC20-110R 厂商：IFE）（备件为返修件） 旧件序列号：ZE232638 0354（服：5485583） 新件序列号：ZE234743 0642（部：5033157）
04A02-0455,工作令号:四临-2022-10-8 02022-10-13 12:44 四号线南浦大桥站下行0455#车，司机至现场切除故障车门后动车。,回库后读取故障为DLS开关失效，检查发现043251车1号门处DLS开关卡滞，更换一个DLS开关并调整尺寸后，多次测试开关门功能正常。（日检一班）（备件由SATCO提供，坏件交由SATCO处理）（DLS开关（左） 型号：12.2307.7301 厂商：上海法维莱交通车辆设备有限公司）
04A02-0429,工作令号:四日-2022-10-29 041732车客室9号车门开、关门时有卡滞。,重新拆装041732车厢9号车门电机与丝杆连接处并清洁压轮后，多次开关门测试正常。（日检一班）
AC05-0427,工作令号:四日-2022-11-3 041621 司机室左侧侧门无法关闭,更换041621处一个司机室侧门锁板(左)后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（司机室侧门锁板(左) 型号：MY600APL-21501 厂商：南京康尼机电股份有限公司）（备件为返修件）
AC05-0402,"工作令号:四日-2022-11-19 040121 4,10号车门故障",更换040121车4号车门、10号车门处共两个从门控制器后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（从门控制器 厂商：IFE 型号：PMC20-110R）（备件为返修件） 4号车门 旧件序列号：ZE234743 0629（服：5550986） 新件序列号：ZE4530011325 1216（部：5150934） 10号车门 旧件序列号：ZE235293 0781（服：5550988） 新件序列号：ZE234874 0716（部：5000925）
AC05-0403,工作令号:四日-2022-11-19 040181 7号车门故障,更换040181车7号车门处一个从门控制器后，多次测试开关门功能正常。（日检一班）（备件由中车申通提供，坏件交由中车申通处理）（从门控制器 厂商：IFE 型号：PMC20-110R）（备件为返修件） 旧件序列号：ZE231826 XXXX（服：5551086） 新件序列号：ZE2300870013（部：5156932）
