工单号,工作要点说明,工单状态,设备编码,车型-列车号,工作班组编码,工作班组名称,工单类型,故障时间,完工时间,修理时间(分钟),计划工时,故障信息来源,系统功能,子项功能,底层功能,故障描述,故障影响,纠正措施,故障情况,处理情况,车辆原因,扣修,扣修天数,晚点分钟,中途晚点分钟,晚点有责
5455120,对233#的齿轮箱油进行检验检测,结束,AC08-0233,AC08-0233,RS-02,维修二部（2#）,故障修工单,2022-09-06-09.00.00,2022-09-23-16.00.00,24900,0,维修三部,转向架,齿轮传动装置,,故障,,,工作令号:二临（检）-2022-9-1 二临（检）-2022-9-1,车辆号：233# 021302 1轴 序列号：C360 021313 1轴 序列号：C008 021322 1轴 序列号：C091 021333 1轴 序列号：C361 油品品牌号：Shell Spirax S6AXME75W90 抽油公里数：1566196KM 上次加油公里数：1426031KM 上次加油时间：2021/6/26,N,N,,,,
5455578,对289#的齿轮箱油进行检检验检测,结束,02A05-02089,02A05-02089,RS-02,维修二部（2#）,故障修工单,2022-09-07-09.00.00,2022-09-07-19.00.00,600,0,维修二部,转向架,齿轮传动装置,,故障,,,工作令号:二临（检）-2022-9-2 对289#的齿轮箱油进行检检验检测,,N,N,,,,
5494226,02A02型车紧急制动旁路开关改造,结束,AC08-0251,AC08-0251,RS-02,维修二部（2#）,故障修工单,2022-09-20-00.00.00,2022-09-30-21.00.00,720,1,,,,,,,,工作令号：整（02A02）-2022-9-10,整改已完成。,N,N,,,,
5494424,2号线列车紧急制动旁路开关改造,已开始,AC17A-0264,AC17A-0264,RS-02,维修二部（2#）,故障修工单,2022-09-15-00.00.00,,,1,,,,,,,,工作令号：整（02A03）-2022-9-11,整改已完成。,N,N,,,,
5494425,2号线列车紧急制动旁路开关改造,已开始,AC17B-0270,AC17B-0270,RS-02,维修二部（2#）,故障修工单,2022-09-15-00.00.00,,,1,,,,,,,,工作令号：整（02A04）-2022-9-11,整改已完成,N,N,,,,
5536437,0210#00611 广播故障。,结束,AC02-0210,AC02-0210,RS-02,维修二部（2#）,故障修工单,2022-11-09-20.00.00,2022-11-09-22.00.00,120,2,维修三部,乘客信息（PIS）,广播,音频处理器,损坏,不影响运营,已修理,工作令号:二日-2022-11-9 0210#00611 广播故障。,0210#00611 广播故障。 重刷广播音频文件后，功能正常，车况正常。 故障单号：北-3000516 北翟日二闭环,Y,N,,,,
5541342,因生产临时安排，镟轮取消,已开始,02A05-02094,02A05-02094,RS-02,维修二部（2#）,故障修工单,2022-11-15-09.00.00,,,0,维修二部,接口,,,故障,,,,,N,N,,,,
5541353,因生产临时安排，镟轮取消,工作请求,02A05-02094,02A05-02094,RS-02,维修二部（2#）,故障修工单,2022-11-15-09.00.00,,,0,维修二部,接口,,,故障,,,,,N,N,,,,
5541368,238#阅读灯及司机室照明国产化替代,已开始,AC08-0238,AC08-0238,RS-02,维修二部（2#）,故障修工单,2022-11-15-10.00.00,,,1,维修二部,辅助供电,,,故障,,,工作令号:二日-2022-11-15 238#阅读灯及司机室照明国产化替代,,N,N,,,,
5541370,241#阅读灯及司机室照明国产化替代,已开始,AC08-0241,AC08-0241,RS-02,维修二部（2#）,故障修工单,2022-11-15-10.00.00,,,1,维修二部,辅助供电,,,故障,,,工作令号:二日-2022-11-15 241#阅读灯及司机室照明国产化替代,,N,N,,,,
