"工单号","工作要点说明","工单状态","设备编码","车型-列车号","工作班组编码","工作班组名称","工单类型","故障时间","完工时间","修理时间(分钟)","计划工时","故障信息来源","系统功能","子项功能","底层功能","故障描述","故障影响","纠正措施","故障情况","处理情况","车辆原因","扣修","扣修天数","晚点分钟","中途晚点分钟","晚点有责"
5439125,14A01型列车车门坦克链整改,FaultReport,14A01-14002,14A01-14002,RS-14,维修四部（14#）,故障修工单,2022-08-25-00.00.00,,,0,,,,,,,,工作令号：整（14A01）-2022-8-9,,N,N,,,,
5866667,此工单与WO：5645446工单重复，请求删除,结束,14A01-14041,14A01-14041,RS-14,维修四部（14#）,故障修工单,2022-08-21-13.00.00,2023-01-23-15.00.00,223320,0,维修四部,转向架,,,故障,,,此工单与WO：5645446工单重复，请求删除,,N,N,,,,
5396784,14004#车空调机组温度显示异常,结束,14A01-14004,14A01-14004,RS-14-01,维修四部（14#）检修一班,故障修工单,2022-08-02-14.00.00,2022-08-02-16.00.00,120,1,维修六部,空调,顶置式空调单元,,故障,不影响运营,已更换,工作令号:封均-2022-8-3 14004#车空调测试（140262）机组2吸气温度、机组1蒸出温度与（140282）机组2吸气温度显示异常,上车检查（140262）机组2吸气温度、机组1蒸出温度与（140282）机组2吸气温度显示异常，更换吸气传感器和蒸出传感器后测试空调温度正常。（备件由浦镇提供，坏件已交由浦镇）,Y,N,,,,
5396884,（140282）弓网摄像头无图像,结束,14A01-14004,14A01-14004,RS-14-01,维修四部（14#）检修一班,故障修工单,2022-08-02-16.00.00,2022-08-02-18.00.00,120,1,维修六部,辅助功能,辅助监控,视频监控相机,损坏,不影响运营,已更换,工作令号:封均-2022-8-3 （140282）弓网摄像头P4无图像,检查发现弓网摄像头P4无图像，更换车顶补光灯控制板后P4恢复正常，列车正常。（备件由浦镇提供，坏件已交由浦镇）,Y,N,,,,
5402703,（140411）空调机组显示故障代码,结束,14A01-14006,14A01-14006,RS-14-01,维修四部（14#）检修一班,故障修工单,2022-08-05-13.00.00,2022-08-05-15.00.00,120,1,维修六部,空调,空调电气控制,,故障,不影响运营,已更换,工作令号:封均-2022-8-9 14006#车空调测试（140411）空调机组2蒸出温度1-1显示故障代码,上车检查确认（140411）空调机组2蒸出温度1-1传感器失效，更换蒸出传感器后测试空调正常，列车正常。（备件由浦镇提供，坏件已交由浦镇）,Y,N,,,,
5405114,能耗记录仪版本错误,结束,14A01-14007,14A01-14007,RS-14-01,维修四部（14#）检修一班,故障修工单,2022-08-07-14.00.00,2022-08-07-16.00.00,120,1,维修六部,辅助功能,能耗记录仪,能耗记录仪,软件故障,不影响运营,已修理,工作令号:封均-2022-8-12 14007#（140502）能耗记录仪版本错误。,上车检查（140502）能耗记录仪版本为1.6，应为1.44，刷新软件后正常。,Y,N,,,,
5411040,空调测试蒸出温度异常,结束,14A01-14008,14A01-14008,RS-14-01,维修四部（14#）检修一班,故障修工单,2022-08-10-15.00.00,2022-08-10-17.00.00,120,1,维修六部,空调,顶置式空调单元,,故障,不影响运营,已更换,工作令号:封均-2022-8-16 14008#车空调测试（140602）机组1蒸出传感器2-1与（140641）机组2蒸出传感器2-2的蒸出温度异常,上车检查空调测试（140602）机组1蒸出传感器异常，（140641）机组2蒸出传感器异常，更换蒸出传感器后空调测试正常，列车正常。（备件由浦镇提供，坏件已交由浦镇）,Y,N,,,,
5411042,（140641）副驾驶台刮雨器电机失效,结束,14A01-14008,14A01-14008,RS-14-01,维修四部（14#）检修一班,故障修工单,2022-08-10-16.00.00,2022-08-10-18.00.00,120,1,维修六部,车体,司机室,刮雨器,电机损坏,不影响运营,已更换,工作令号:封均-2022-8-16 14008#车(140641)副驾驶台刮雨器电机失效,经更换（140641）副驾驶台下方柜内刮雨器电机后，恢复正常。（备件由浦镇提供，坏件已交由浦镇）,Y,N,,,,
5414997,蒸出传感器的蒸出温度显示异常,结束,14A01-14009,14A01-14009,RS-14-01,维修四部（14#）检修一班,故障修工单,2022-08-12-15.00.00,2022-08-12-16.30.00,90,1,维修六部,空调,顶置式空调单元,,故障,不影响运营,已更换,工作令号:封均-2022-8-19 14009#车空调测试（140712）机组2蒸出传感器的蒸出温度显示异常。,上车检查（140712）机组2蒸出传感器故障，更换蒸出传感器后测试空调正常。（备件由浦镇提供，坏件交由浦镇）,Y,N,,,,
5415008,受电弓减震器固定螺母松动,结束,14A01-14009,14A01-14009,RS-14-01,维修四部（14#）检修一班,故障修工单,2022-08-12-17.00.00,2022-08-12-18.30.00,90,1,维修六部,牵引,受流设备,,故障,不影响运营,已修理,工作令号:封均-2022-8-19 14009#（140682）受电弓减震器固定螺母松动。,上车检查14009#（140682）受电弓减震器固定螺母松动，经重新拆装，清洁并将螺栓涂抹乐泰243重新紧固后，故障排除。,Y,N,,,,
