"工单号","工作要点说明","工单状态","设备编码","车型-列车号","工作班组编码","工作班组名称","工单类型","故障时间","完工时间","修理时间(分钟)","计划工时","故障信息来源","系统功能","子项功能","底层功能","故障描述","故障影响","纠正措施","故障情况","处理情况","车辆原因","扣修","扣修天数","晚点分钟","中途晚点分钟","晚点有责"
5459692,川杨河基地1639号列车（2节）TMC1、M车轮尺寸超标2.2mm镟轮作业,结束,16A01-1639,16A01-1639,RS-16,维修五部（16#）,故障修工单,2022-09-07-12.00.00,2022-09-07-20.00.00,480,8,维修七部,转向架,轮对轴箱装置,轮对车轮,尺寸超标,,,工作令号:川镟-2022-9-2 川杨河基地1639号列车（2节）TMC1、M车轮尺寸超标2.2mm镟轮作业,已按镟轮要求完成作业,N,N,,,,
5466552,16A01型车无线电紧急对讲整改,结束,16A01-1601,16A01-1601,RS-16,维修五部（16#）,故障修工单,2022-09-08-13.00.00,2022-09-08-16.00.00,180,3,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（技术通知-SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5468999,川杨河基地1633号列车（1节）TMC1车轮径临近超标镟轮作业,结束,16A01-1633,16A01-1633,RS-16,维修五部（16#）,故障修工单,2022-09-14-11.00.00,2022-09-14-17.00.16,360,5,维修七部,转向架,轮对轴箱装置,轮对车轮,尺寸超标,,,工作令号:川镟-2022-9-4 川杨河基地1633号列车（1节）TMC1车轮径临近超标镟轮作业,已按镟轮要求完成作业,N,N,,,,
5473334,工单重复，申请删除，实际工单详见WO号5473329,已开始,16A01-1633,16A01-1633,RS-16,维修五部（16#）,故障修工单,2022-09-18-10.00.00,,,0,维修五部,乘客信息（PIS）,,,故障,,,工单重复，申请删除，实际工单详见WO号5473329,,N,N,,,,
5494164,工单重复，申请删除。正确WO：5494167,工作请求,16A01-1624,16A01-1624,RS-16,维修五部（16#）,故障修工单,2022-09-30-11.00.00,,,0,维修五部,牵引,,,故障,,,工单重复，申请删除。正确WO：5494167,,N,N,,,,
5508962,16A01型车无线电紧急对讲整改,结束,16A01-1602,16A01-1602,RS-16,维修五部（16#）,故障修工单,2022-09-28-13.00.00,2022-09-28-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508963,16A01型车无线电紧急对讲整改,结束,16A01-1603,16A01-1603,RS-16,维修五部（16#）,故障修工单,2022-09-28-13.00.00,2022-09-28-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508964,16A01型车无线电紧急对讲整改,结束,16A01-1604,16A01-1604,RS-16,维修五部（16#）,故障修工单,2022-09-29-13.00.00,2022-09-29-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508965,16A01型车无线电紧急对讲整改,结束,16A01-1605,16A01-1605,RS-16,维修五部（16#）,故障修工单,2022-10-01-13.00.00,2022-10-01-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508966,16A01型车无线电紧急对讲整改,结束,16A01-1606,16A01-1606,RS-16,维修五部（16#）,故障修工单,2022-09-28-13.00.00,2022-09-28-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508967,16A01型车无线电紧急对讲整改,结束,16A01-1607,16A01-1607,RS-16,维修五部（16#）,故障修工单,2022-10-03-13.00.00,2022-10-03-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508968,16A01型车无线电紧急对讲整改,结束,16A01-1608,16A01-1608,RS-16,维修五部（16#）,故障修工单,2022-10-03-13.00.00,2022-10-03-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508969,16A01型车无线电紧急对讲整改,结束,16A01-1609,16A01-1609,RS-16,维修五部（16#）,故障修工单,2022-10-03-13.00.00,2022-10-03-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508970,16A01型车无线电紧急对讲整改,结束,16A01-1610,16A01-1610,RS-16,维修五部（16#）,故障修工单,2022-10-03-13.00.00,2022-10-03-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508971,16A01型车无线电紧急对讲整改,结束,16A01-1611,16A01-1611,RS-16,维修五部（16#）,故障修工单,2022-10-04-13.00.00,2022-10-04-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508972,16A01型车无线电紧急对讲整改,结束,16A01-1612,16A01-1612,RS-16,维修五部（16#）,故障修工单,2022-10-04-13.00.00,2022-10-04-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508973,16A01型车无线电紧急对讲整改,结束,16A01-1613,16A01-1613,RS-16,维修五部（16#）,故障修工单,2022-10-01-13.00.00,2022-10-01-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508974,16A01型车无线电紧急对讲整改,结束,16A01-1614,16A01-1614,RS-16,维修五部（16#）,故障修工单,2022-10-02-13.00.00,2022-10-02-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508975,16A01型车无线电紧急对讲整改,结束,16A01-1615,16A01-1615,RS-16,维修五部（16#）,故障修工单,2022-10-04-13.00.00,2022-10-04-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508976,16A01型车无线电紧急对讲整改,结束,16A01-1616,16A01-1616,RS-16,维修五部（16#）,故障修工单,2022-09-30-13.00.00,2022-09-30-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508977,16A01型车无线电紧急对讲整改,结束,16A01-1617,16A01-1617,RS-16,维修五部（16#）,故障修工单,2022-09-27-13.00.00,2022-09-27-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508978,16A01型车无线电紧急对讲整改,结束,16A01-1618,16A01-1618,RS-16,维修五部（16#）,故障修工单,2022-10-02-13.00.00,2022-10-02-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508979,16A01型车无线电紧急对讲整改,结束,16A01-1619,16A01-1619,RS-16,维修五部（16#）,故障修工单,2022-10-01-13.00.00,2022-10-01-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508980,16A01型车无线电紧急对讲整改,结束,16A01-1620,16A01-1620,RS-16,维修五部（16#）,故障修工单,2022-09-30-13.00.00,2022-09-30-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508981,16A01型车无线电紧急对讲整改,结束,16A01-1621,16A01-1621,RS-16,维修五部（16#）,故障修工单,2022-09-28-13.00.00,2022-09-28-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508982,16A01型车无线电紧急对讲整改,结束,16A01-1622,16A01-1622,RS-16,维修五部（16#）,故障修工单,2022-09-28-13.00.00,2022-09-28-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508983,16A01型车无线电紧急对讲整改,结束,16A01-1623,16A01-1623,RS-16,维修五部（16#）,故障修工单,2022-10-04-13.00.00,2022-10-04-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508984,16A01型车无线电紧急对讲整改,结束,16A01-1624,16A01-1624,RS-16,维修五部（16#）,故障修工单,2022-10-02-13.00.00,2022-10-02-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508985,16A01型车无线电紧急对讲整改,结束,16A01-1625,16A01-1625,RS-16,维修五部（16#）,故障修工单,2022-10-01-13.00.00,2022-10-01-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508986,16A01型车无线电紧急对讲整改,结束,16A01-1626,16A01-1626,RS-16,维修五部（16#）,故障修工单,2022-10-08-13.00.00,2022-10-08-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
5508987,16A01型车无线电紧急对讲整改,结束,16A01-1627,16A01-1627,RS-16,维修五部（16#）,故障修工单,2022-10-08-13.00.00,2022-10-08-17.00.00,240,4,,,,,,,,工作令号：整（16A01）-2022-9-3,根据技术通知（SHL16OM-2022-050关于16A01型电动列车无线电紧急对讲整改的技术通知）完成排查整改。,N,N,,,,
