工单号,工作要点说明,工单状态,设备编码,车型-列车号,工作班组编码,工作班组名称,工单类型,故障时间,完工时间,修理时间(分钟),计划工时,故障信息来源,系统功能,子项功能,底层功能,故障描述,故障影响,纠正措施,故障情况,处理情况,车辆原因,扣修,扣修天数,晚点分钟,中途晚点分钟,晚点有责
5754927,库内TC1客室紧急对讲失灵,结束,AC13-1009,AC13-1009,Y1CL06,均修三组,故障修工单,2023-03-28-15.00.00,2023-03-28-16.00.00,60,1,维修八部,乘客信息（PIS）,广播,音频控制器（DACU）,损坏,不影响运营,已更换,工作令号:吴均-2023-3-43 库内TC1客室紧急对讲失灵,轮巡发现TC1车DACU2广播盒不在线，更换DACU2后恢复正常。(材料由质保提供，坏件由质保回收) 新零部件序列号：FN06020201 旧零部件序列号：FN06020208,Y,N,,,,
5508372,AC13均衡修8,工作完成,AC13-1027,AC13-1027,Y1CL06,均修三组,计划修工单,2022-10-19-09.00.00,2022-10-19-17.00.00,480,0.4,,,,,,,,工作令号：吴均-2022-10-27,,N,N,,,,
5644280,M2 牵引故障。,结束,AC13-1022,AC13-1022,Y1CL08,日检一组,故障修工单,2023-01-22-23.00.00,2023-01-23-11.00.00,720,1,维修八部,牵引,,,故障,不影响运营,已修理,工作令号:吴日-2023-1-22 M2 牵引故障。,下载故障记录显示M2车HSCB无法吸合，导致牵引锁闭，复位后缓EB多次都正常，预防性刷新M2车agate软件后自检通过,Y,N,,,,
5931985,全车lcd花屏,结束,AC13-1007,AC13-1007,Y1CL08,日检一组,故障修工单,2023-06-26-10.00.00,2023-06-26-19.17.56,558,1,维修八部,乘客信息（PIS）,媒体播放系统,客室LCD显示屏,黑屏,不影响运营,查无原因,工作令号:吴日-20023-6-26 全车lcd花屏,上车检查全列LCD功能正常，显示正常            6/27 正线确认LCD显示正常,N,N,,,,
5420944,伊犁路下行 MP1 空调故障,结束,AC13-1015,AC13-1015,Y1CL09,日检二组,故障修工单,2022-08-17-09.53.00,2022-08-17-23.00.00,787,1,客一分公司,空调,空调电气控制,接触器,断路器故障,不影响运营,已更换,工作令号:吴日 2022-08-17 伊犁路下行 MP1 空调故障,上车检查发现继电器K22有时吸合不良，更换继电器后空调工作正常。,Y,N,,,,
5420947,水城路上行 TC2 空调故障,结束,AC13-1040,AC13-1040,Y1CL09,日检二组,故障修工单,2022-08-17-09.15.00,2022-08-17-23.00.00,825,1,客一分公司,空调,空调电气控制,控制板,线路松动,不影响运营,已修理,工作令号:吴日2022-08-17 水城路上行 TC2 空调故障,上车检查DDU面板正常无故障显示，连接电脑监控空调工作正常，制冷正常，检查控制回路未发现异常，自动模式测试半小时空调运行正常板卡与MP2互换，后重新刷新软件程序。,Y,N,,,,
5422837,EB无法缓解,结束,10A02-10059,10A02-10059,Y1CL09,日检二组,故障修工单,2022-08-18-05.21.00,2022-08-19-13.00.00,1899,1,客一分公司,制动,,,故障,不影响运营,已修理,工作令号:吴日-2022-08-18 EB无法缓解,经查看记录和数据，HSCB合上后，司控器推至牵引位过快，牵引内预充电尚未完成，导致牵引未输出，制动力已下降，车子发生溜车，追踪ATC上EB，ATC报红感，列车无故障。,N,N,,,,
5423151,17日之前无录像,结束,AC13-1031,AC13-1031,Y1CL09,日检二组,故障修工单,2022-08-18-20.00.00,2022-08-19-03.42.28,462,1,客一分公司,乘客信息（PIS）,视频监控系统,,故障,不影响运营,查无原因,工作令号:2022-08-18 17日之前无录像,上车检查功能正常。,N,N,,,,
5440270,16:50豫园下行TC1处空调漏水,结束,AC13-1032,AC13-1032,Y1CL09,日检二组,故障修工单,2022-08-29-16.50.00,2022-08-29-23.00.00,370,1,客一分公司,空调,顶置式空调单元,空调总成,固定松动,不影响运营,已修理,工作令号:吴日2022-08-29 16:50豫园下行TC1处空调漏水,上车检查机组存有少量冷凝水，擦干后对机组进行检查（无异常），属正常现象。,Y,N,,,,
5513339,库内：M2 2号门处空调漏水,工作完成,AC13-1021,AC13-1021,Y1CL09,日检二组,故障修工单,2022-10-17-20.00.00,2022-10-19-16.00.00,2640,1,,空调,顶置式空调单元,空调总成,固定松动,不影响运营,已更换,工作令号:吴日-2022-10-17 库内：M2 2号门处空调漏水,更换M2一位端2号门处空调机组(材料由质保提供，坏件由质保回收) 新零部件序列号：117 旧零部件序列号：384,Y,N,,,,
5513342,库内：M2录像文件缺失,结束,10A02-10056,10A02-10056,Y1CL09,日检二组,故障修工单,2022-10-17-20.00.00,2022-10-18-03.20.14,440,1,客一分公司,乘客信息（PIS）,视频监控系统,,故障,不影响运营,已修理,工作令号:吴日-2022-10-17 库内：M2录像文件缺失,56车是此前故障处理，录像删除M2，之前录像保存在M1,N,N,,,,
5524788,库内：MP1弓网监测服务器连接不上,结束,10A02-10062,10A02-10062,Y1CL09,日检二组,故障修工单,2022-10-29-20.00.00,2022-10-30-02.49.47,410,1,客一分公司,辅助功能,辅助监控,视频分析服务器,故障,不影响运营,查无原因,工作令号:吴日-2022-10-29 库内：MP1弓网监测服务器连接不上,上车检查功能正常,N,N,,,,
5524790,库内：MP1弓网监测服务器连接不上,结束,10A02-10056,10A02-10056,Y1CL09,日检二组,故障修工单,2022-10-29-20.00.00,2022-10-30-02.52.50,413,1,客一分公司,辅助功能,辅助监控,紫外相机,故障,不影响运营,已更换,工作令号:吴日-2022-10-29 库内：MP1弓网监测服务器连接不上,更换MP1、MP2车顶相机后正常,N,N,,,,
5524791,库内：MP2弓网监测服务器连接不上,结束,AC13-1002,AC13-1002,Y1CL09,日检二组,故障修工单,2022-10-29-20.00.00,2022-10-30-02.55.00,415,1,客一分公司,乘客信息（PIS）,视频监控系统,车载交换机,损坏,不影响运营,已更换,工作令号:吴日-2022-10-29 库内：MP2弓网监测服务器连接不上,上车检查发现由于M2交换机损坏导致服务器连接不上，更换后测试功能正常,N,N,,,,
5524792,库内：M2整节摄像头录像文件时间段缺,结束,AC13-1002,AC13-1002,Y1CL09,日检二组,故障修工单,2022-10-29-20.00.00,2022-10-30-03.00.15,420,1,客一分公司,乘客信息（PIS）,视频监控系统,车载交换机,损坏,不影响运营,已更换,工作令号:吴日-2022-10-29 库内：M2整节摄像头录像文件时间段缺失,上车检查发现M2交换机损坏，更换后测试功能正常,N,N,,,,
5524793,库内TC1 4、6号门天花板油漆大片脱离,结束,AC13-1003,AC13-1003,Y1CL09,日检二组,故障修工单,2022-10-29-20.00.00,2022-10-30-05.02.52,543,1,客一分公司,车体,车内设备,中央天花板,故障,不影响运营,已修理,工作令号:吴日-2022-10-29 库内TC1 4、6号门天花板油漆大片脱离,重新打磨喷漆后正常,Y,N,,,,
5524795,库内MP1 烟火报警故障，重置无效,结束,AC13-1021,AC13-1021,Y1CL09,日检二组,故障修工单,2022-10-29-20.00.00,2022-10-30-02.06.33,367,1,客一分公司,辅助功能,烟火报警系统,,故障,不影响运营,已更换,工作令号:吴日-2022-10-29 库内MP1 烟火报警故障，重置无效,上车检查发现MP1车6号探头损坏，更换后测试功能正常 烟雾探测器 旧件序列号：CH2721062035 新件序列号：CH2721069002 (材料由质保提供，坏件由质保回收),N,N,,,,
5527548,IOS列表显示客室照明故障,结束,AC13-1005,AC13-1005,Y1CL09,日检二组,故障修工单,2022-11-01-10.00.00,2022-11-01-23.00.00,780,1,客一分公司,控制,电气控制设备,ELK,损坏,不影响运营,已更换,工作令号:吴日-2022-11-1 IOS列表显示客室照明故障,"下载记录显示C1车报紧急照明故障,RIOM信号ELK（紧急照明接触器)异常，更换后正常",Y,N,,,,
5532991,库内MP2空调故障,结束,AC13-1039,AC13-1039,Y1CL09,日检二组,故障修工单,2022-11-06-20.00.00,2022-11-07-02.55.22,415,1,客一分公司,空调,顶置式空调单元,新风风门伺服电机,损坏,不影响运营,已更换,工作令号:吴日-2022-11-06 库内MP2空调故障,上车检查发现机组二新风门2卡顿，更换新风门2自服电机后正常,N,N,,,,
5572041,新天地下行广播故障,结束,AC13-1007,AC13-1007,Y1CL09,日检二组,故障修工单,2022-12-03-08.01.00,2022-12-03-23.00.29,899,1,客一分公司,乘客信息（PIS）,广播,音频控制器（DACU）,损坏,不影响运营,已更换,工作令号:吴日-2022-12-3 新天地下行广播故障,上车检查发现TC1 DACU1故障，更换后正常 名称：DACU 旧件：FN06020746 新件：FN06020499,Y,N,,,,
5592866,TC1司机室座椅高度调节杆断,结束,AC13-1033,AC13-1033,Y1CL09,日检二组,故障修工单,2022-12-15-10.00.00,2022-12-15-23.00.00,780,1,维修八部,车体,司机室,司机座椅,调节功能失效,不影响运营,已更换,工作令号:吴日-2022-12-15 TC1司机室座椅高度调节杆断,更换TC1司机室座椅。,Y,N,,,,
5592937,MP1 7号门动态地图坏,结束,AC13-1020,AC13-1020,Y1CL09,日检二组,故障修工单,2022-12-15-10.00.00,2022-12-15-13.28.00,208,1,客一分公司,乘客信息（PIS）,广播,动态线路地图显示器（DMD）,损坏,不影响运营,已更换,工作令号:吴日-2022-12-15 MP1 7号门动态地图坏,上车检查发现动态地图坏，更换后正常,Y,N,,,,
5592965,库内：TC2司机室座椅无法展开,结束,AC13-1035,AC13-1035,Y1CL09,日检二组,故障修工单,2022-12-15-10.00.00,2022-12-15-23.00.00,780,1,客一分公司,车体,司机室,司机座椅,破损,不影响运营,已更换,工作令号:吴日-2022-12-15 库内：TC2司机室座椅无法展开,更换TC2司机室座椅。,Y,N,,,,
5647225,高速开关跳脱牵引跳红,结束,AC13-1009,AC13-1009,Y1CL09,日检二组,故障修工单,2023-01-25-20.00.00,2023-01-27-11.37.18,2377,1,客一分公司,牵引,牵引设备箱,ONIX控制单元(OCU),损坏,不影响运营,已更换,工作令号:吴日-2023-1-25 高速开关跳脱牵引跳红,下载记录显示逆变器IGBT故障，更换OCU后恢复正常 更换件：OCU模块 旧件：215 新件：96,Y,N,,,,
5647421,库内100336-3摄像头1/25日录像文件缺,结束,AC13-1033,AC13-1033,Y1CL09,日检二组,故障修工单,2023-01-25-10.00.00,2023-01-27-11.05.23,2945,1,客一分公司,乘客信息（PIS）,视频监控系统,客室摄像头,黑屏,不影响运营,已修理,工作令号:吴日-2023-1-26 库内100336-3摄像头1/25日录像文件缺,上车检查发现6-3连接器内M12内缩针导致接触不良，重新整理紧固连接恢复正常。,N,N,,,,
5647436,综合自检不通过,结束,AC13-1013,AC13-1013,Y1CL09,日检二组,故障修工单,2023-01-25-20.00.00,2023-01-26-02.21.10,381,1,客一分公司,制动,制动电气控制系统,网关阀,失效,不影响运营,已更换,工作令号:吴日-2023-01-25 综合自检不通过,下载故障记录显示TC1 G阀与R阀故障，更换TC1 G阀与R阀后自检通过。,Y,N,,,,
5669780,龙溪下行牵引逆变器故障,结束,10A02-10063,10A02-10063,Y1CL09,日检二组,故障修工单,2023-02-09-10.00.00,2023-02-09-14.08.33,249,1,客一分公司,牵引,牵引控制单元,监控器,故障,不影响运营,已修理,工作令号:吴日-2023-02-09 龙溪下行牵引逆变器故障,上车检查发现DDU面板至少一个牵引逆变器电制动故障重新刷新MP1、M1、M2 MPU（12.0.5.0）软件，恢复正常,Y,N,,,,
5767093,综合自检失败,结束,AC13-1011,AC13-1011,Y1CL09,日检二组,故障修工单,2023-04-03-23.00.00,2023-04-04-01.55.51,176,1,维修八部,制动,制动电气控制系统,智能阀,失效,不影响运营,已更换,工作令号:吴日-2023-4-3 综合自检失败,上车更换M1 1架 S阀后正常,Y,N,,,,
5817924,M1蓄电池充电器故障,结束,AC13-1039,AC13-1039,Y1CL09,日检二组,故障修工单,2023-04-28-04.00.00,2023-04-28-10.34.07,394,1,客一分公司,辅助供电,蓄电池充电模块,外挂蓄电池充电机,损坏,不影响运营,已更换,工作令号:吴日-2023-4-28 M1蓄电池充电器故障,下载故障未晶体管过流更换M1充电机箱后启车正常 充电机 025（旧件） 067（返修件）,Y,N,,,,
5577653,库内M1储风缸截止阀漏气。,结束,AC13-1039,AC13-1039,Y1CL10,日检三组,故障修工单,2022-12-06-09.00.00,2022-01-07-11.00.00,-479400,1,维修八部,制动,管路元件,球阀B1（常用制动气路）,失效,不影响运营,已更换,工作令号:吴均-2022-12-09 库内M1储风缸截止阀漏气。,重新更换截止阀后恢复正常。,Y,N,,,,
5415240,江体下行TC1车动态地图故障,结束,AC13-1008,AC13-1008,Y1CL11,日检四组,故障修工单,2022-08-13-06.50.00,2022-08-13-23.00.00,970,1,客一分公司,乘客信息（PIS）,广播,配套插接件 ,损坏,不影响运营,已修理,工作令号:吴日-2022-8-13 江体下行TC1车动态地图故障,上车检查发现TC1 SCU‘X05’A/B接口松动重新紧固后测试功能正常。,Y,N,,,,
5827289,综合自检失败，报BCE自检故障,结束,AC13-1031,AC13-1031,Y1CL11,日检四组,故障修工单,2023-05-03-23.01.00,2023-05-03-23.55.21,54,1,客一分公司,制动,制动电气控制系统,智能阀,失效,不影响运营,已更换,工作令号:吴日-2023-5-3 库内日检，综合自检失败，报BCE自检故障,上车下载故障显示MP1S阀故障，更换后恢复正常，自检通过,Y,N,,,,
5396725,MP1空调故障,结束,AC13-1037,AC13-1037,Y1CL12,检修一组,故障修工单,2022-08-02-15.05.00,2022-08-02-17.56.57,172,1,总调-OCC,空调,顶置式空调单元,新风温度传感器,失效,不影响运营,已更换,工作令号:吴日-2022-8-2 MP1空调故障,更换MP1机组二送风传感器后正常,Y,N,,,,
5398266,江体下行乘客投诉客室闷热,结束,AC13-1038,AC13-1038,Y1CL12,检修一组,故障修工单,2022-08-02-08.20.00,2022-08-03-14.42.25,1822,1,客一分公司,空调,顶置式空调单元,,故障,不影响运营,查无原因,工作令号:吴日-2022-8-2 江体下行乘客投诉客室闷热,上车检查全车空调工作正常，制冷良好，未发现异常，录像和故障记录查看未发现异常,N,N,,,,
5403366,TC22号车门故障,结束,10A02-10056,10A02-10056,Y1CL12,检修一组,故障修工单,2022-08-06-07.06.00,2022-08-06-09.20.26,134,1,维修八部,车门,客室车门机械部件,下滑道尼龙条,故障,不影响运营,已修理,工作令号:吴日-2022-8-6 TC22号车门故障,上车检查左侧门下滑道有异物卡住，清除异物，调整车门后功能正常。,N,N,,,,
5403942,TC2司机室扶手脱落,结束,AC13-1024,AC13-1024,Y1CL12,检修一组,故障修工单,2022-08-06-15.20.00,2022-08-06-17.10.58,111,1,总调-OCC,车体,车体结构,中间扶手,松脱,不影响运营,已修理,工作令号:吴日-2022-8-6 TC2司机室扶手脱落,上车重新安装后正常,Y,N,,,,
5404019,TC1空调故障,结束,AC13-1017,AC13-1017,Y1CL12,检修一组,故障修工单,2022-08-06-10.30.00,2022-08-06-18.12.54,463,1,总调-OCC,空调,顶置式空调单元,新风温度传感器,失效,不影响运营,已更换,工作令号:吴日-2022-8-6 TC1空调故障,登顶更换机组一送风传感器后正常,Y,N,,,,
5404020,TC1空调故障,结束,10A02-10060,10A02-10060,Y1CL12,检修一组,故障修工单,2022-08-06-10.00.00,2022-08-06-19.14.23,554,1,总调-OCC,空调,顶置式空调单元,新风调节门,变形,不影响运营,已修理,工作令号:吴日-2022-8-6 TC1空调故障,上车下载空调日志，分析为当时报一次空调新风门位置故障，两分钟后消除，现在反复实验几次新风门动作正常，空调运行正常无故障。,Y,N,,,,
5404022,MP2广播故障,结束,AC13-1003,AC13-1003,Y1CL12,检修一组,故障修工单,2022-08-06-10.00.00,2022-08-06-19.19.00,559,1,总调-OCC,乘客信息（PIS）,广播,客室控制单元（SCU）,损坏,不影响运营,已更换,工作令号:吴日-2022-8-6. MP2广播故障,更换SCU 后恢复正常,Y,N,,,,
5405175,气压表红针7bar，DDU显示压力正常,结束,AC13-1026,AC13-1026,Y1CL12,检修一组,故障修工单,2022-08-07-18.40.00,2022-08-07-19.43.10,63,1,总调-OCC,车体,司机室,双针压力表,损坏,不影响运营,已更换,工作令号:吴日-2022-8-7 气压表红针7bar，DDU显示压力正常,更换TC2气压表后恢复正常,Y,N,,,,
5405481,MP1、MP2车PMS故障,结束,10A02-10044,10A02-10044,Y1CL12,检修一组,故障修工单,2022-08-07-23.00.00,2022-08-08-05.05.56,366,1,维修八部,控制,主处理模块,,故障,不影响运营,已更换,工作令号:吴日-2022-8-7 MP1、MP2车PMS故障,更换MP1，MP2，MPU板卡后故障消除,Y,N,,,,
5405500,故障无法下载,结束,10A02-10053,10A02-10053,Y1CL12,检修一组,故障修工单,2022-08-07-11.00.00,2022-08-08-01.24.50,865,1,维修八部,控制,网络设备,,故障,不影响运营,查无原因,工作令号:吴日-2022-8-7 故障无法下载,上车通过维护以太网端口或MPU主机下载故障，MPU故障记录均可正常下载,N,N,,,,
5405522,M1车牵引故障。,工作完成,AC13-1033,AC13-1033,Y1CL12,检修一组,故障修工单,2022-08-07-23.00.00,2022-08-08-11.00.00,720,1,,牵引,牵引控制单元,监控器,损坏,不影响运营,已更换,工作令号:吴日-2022-8-7 M1车牵引故障。,下载数据板Suplcclosing fault闭合故障，更换AGATE后已正常。 更换件：Agate 旧件序列号：004030918 新件序列号：029331930,Y,N,,,,
5413504,全列车自动广播故障,已开始,AC13-1018,AC13-1018,Y1CL12,检修一组,故障修工单,2022-08-12-06.20.00,,,1,总调-OCC,乘客信息（PIS）,,,故障,,,工作令号:吴日-2022-8-11 全列车自动广播故障,,N,N,,,,
5415907,9号门动态地图故障,工作请求,AC13-1019,AC13-1019,Y1CL12,检修一组,故障修工单,2022-08-14-10.00.00,,,0,总调-OCC,乘客信息（PIS）,,,故障,,,工作令号:吴均-2022-8-19 9号门动态地图故障,,N,N,,,,
5415909,9号门动态地图故障,结束,AC13-1019,AC13-1019,Y1CL12,检修一组,故障修工单,2022-08-14-10.00.00,2022-08-14-15.21.41,322,1,维修八部,乘客信息（PIS）,广播,动态线路地图显示器（DMD）,损坏,不影响运营,已更换,工作令号:吴均-2022-8-19 9号门动态地图故障,上车更换动态地图后测试功能正常,Y,N,,,,
5415910,紧急对讲无法建立,结束,AC13-1019,AC13-1019,Y1CL12,检修一组,故障修工单,2022-08-14-10.30.00,2022-08-14-15.25.17,295,1,维修八部,乘客信息（PIS）,广播,音频控制器（DACU）,损坏,不影响运营,已更换,工作令号:吴均-2022-8-19 紧急对讲无法建立,上车更换TC1的DACU后测试功能正常,Y,N,,,,
5416030,TC1空调故障,结束,AC13-1029,AC13-1029,Y1CL12,检修一组,故障修工单,2022-08-14-11.31.00,2022-08-14-18.54.52,444,1,总调-OCC,空调,空调电气控制,控制板,软件故障,不影响运营,已修理,工作令号:吴日-2022-8-14 TC1空调故障,上车检查，空调运行正常，温度凉爽未发现故障，重新刷新控制卡软件后，空调运行正常,Y,N,,,,
5416038,M2空调故障,结束,AC13-1026,AC13-1026,Y1CL12,检修一组,故障修工单,2022-08-14-08.00.00,2022-08-14-19.16.51,677,1,总调-OCC,空调,空调电气控制,控制板,线路松动,不影响运营,已修理,工作令号:吴日-2022-8-14 M2空调故障,上车检查空调机组2有时候报压力开关故障，检查是因为到板卡的反馈线接触不好，重新压接后，空调运行正常,Y,N,,,,
5422311,TC1车多处照明故障,结束,AC13-1031,AC13-1031,Y1CL12,检修一组,故障修工单,2022-08-18-10.30.00,2022-08-18-13.10.49,161,1,维修八部,车体,车内设备,灯管,损坏,不影响运营,已修理,工作令号:吴均-2022-8-26 TC1车多处照明故障,更换灯管后正常,N,N,,,,
5422314,TC2目的地显示器故障,结束,AC13-1031,AC13-1031,Y1CL12,检修一组,故障修工单,2022-08-18-10.30.00,2022-08-18-13.13.14,163,1,维修八部,乘客信息（PIS）,广播,终点站显示屏,损坏,不影响运营,已更换,工作令号:吴均-2022-8-26 TC1车多处照明故障,上车检查目的地显示器坏，更换新件后正常,Y,N,,,,
5422723,TC1空调故障,结束,AC13-1033,AC13-1033,Y1CL12,检修一组,故障修工单,2022-08-18-13.15.00,2022-08-18-18.32.33,318,1,总调-OCC,空调,空调电气控制,控制板,线路松动,不影响运营,已更换,工作令号:吴日-2022-8-18 TC1空调故障,上车检查未发现异常，现更换控制器。,N,N,,,,
5422725,MP1空调故障,结束,AC13-1004,AC13-1004,Y1CL12,检修一组,故障修工单,2022-08-18-08.20.00,2022-08-18-18.34.35,615,1,总调-OCC,空调,,,故障,不影响运营,查无原因,工作令号:吴日-2022-8-18 MP1空调故障,上车测试MP1的空调机组功能正常，工作稳定正常，重刷程序。,N,N,,,,
5422737,MP1，TC1空调故障,结束,AC13-1014,AC13-1014,Y1CL12,检修一组,故障修工单,2022-08-18-13.41.00,2022-08-18-18.46.33,306,1,总调-OCC,空调,空调电气控制,接触器,断路器故障,不影响运营,已更换,工作令号:吴日-2022-8-18 MP1，TC1空调故障,更换机组二压缩机二的K8辅助触点后功能正常。,Y,N,,,,
5422739,全列车空调不制冷,结束,10A02-10057,10A02-10057,Y1CL12,检修一组,故障修工单,2022-08-18-09.41.00,2022-08-18-18.48.35,548,1,总调-OCC,其他,,,故障,不影响运营,查无原因,工作令号:吴日-2022-8-18 全列车空调不制冷,上车检查相关线束正常，下载记录为正线时的信号，给到57车不对，造成空调压缩机不启动，库内多次测试功能正常,N,N,,,,
5425229,全列车录像服务器无法连接,已开始,AC13-1031,AC13-1031,Y1CL12,检修一组,故障修工单,2022-08-19-23.00.00,2022-08-20-02.12.13,192,1,维修八部,乘客信息（PIS）,,,故障,不影响运营,已修理,工作令号:吴日-2022-8-19 全列车录像服务器无法连接,上车检查录像服务器连接正常,N,N,,,,
5429067,TC1空压机故障,结束,AC13-1030,AC13-1030,Y1CL12,检修一组,故障修工单,2022-08-22-08.21.00,2022-08-22-16.08.27,467,1,总调-OCC,制动,供风系统,空气干燥器单元,故障,不影响运营,已修理,工作令号:吴日-2022-8-22 TC1空压机故障,上车检查为TC1干燥塔传感器问题，更换新传感器后，断开TC2空压机后测试正常,Y,N,,,,
5429075,6#门紧急对讲没有声音,结束,AC13-1025,AC13-1025,Y1CL12,检修一组,故障修工单,2022-08-22-10.30.00,2022-08-22-15.14.13,284,1,维修八部,乘客信息（PIS）,广播,乘客紧急通讯单元（PECU）,损坏,不影响运营,已修理,工作令号:吴均-2022-8-32 6#门紧急对讲没有声音,更换新紧急对讲后正常,Y,N,,,,
5429355,TC2空调故障,结束,AC13-1027,AC13-1027,Y1CL12,检修一组,故障修工单,2022-08-22-09.20.00,2022-08-22-18.50.31,571,1,总调-OCC,空调,空调电气控制,控制软件,软件故障,不影响运营,已修理,工作令号:吴日-2022-8-22 TC2空调故障,重刷软件后正常 版本号51-79,Y,N,,,,
5429358,殷高下行TC1空调故障，打半冷,结束,AC13-1003,AC13-1003,Y1CL12,检修一组,故障修工单,2022-08-22-08.44.00,2022-08-22-18.52.53,609,1,总调-OCC,空调,顶置式空调单元,新风温度传感器,失效,不影响运营,已更换,工作令号:吴日-2022-8-22 殷高下行TC1空调故障，打半冷,回库检查DDU面板无故障，连接电脑监控显示机组新风传感器故障，登顶更换传感器后测试温度正常。,Y,N,,,,
5429397,"TC2,MP2空调故障",结束,AC13-1036,AC13-1036,Y1CL12,检修一组,故障修工单,2022-08-22-17.50.00,2022-08-22-19.19.07,89,1,总调-OCC,空调,空调电气控制,控制软件,软件故障,不影响运营,已修理,"工作令号:吴日-2022-8-22 TC2,MP2空调故障",重刷软件后正常版本号 61- 79,Y,N,,,,
