工单号,工作要点说明,工单状态,设备编码,车型-列车号,工作班组编码,工作班组名称,工单类型,故障时间,完工时间,修理时间(分钟),计划工时,故障信息来源,系统功能,子项功能,底层功能,故障描述,故障影响,纠正措施,故障情况,处理情况,车辆原因,扣修,扣修天数,晚点分钟,中途晚点分钟,晚点有责
5881884,此报单车辆号填写错误，申请作废,工作请求,18A01-18001,18A01-18001,RSSIE,西门子车辆部18#,故障修工单,2023-01-09-22.00.00,,,1,维修一部,控制,电气控制设备,,故障,,,此报单车辆号填写错误，申请作废,,N,N,,,,
5425621,18A01均衡修11,结束,18A01-18049,18A01-18049,RSSIE,西门子车辆部18#,计划修工单,2022-08-31-09.00.00,2022-08-31-16.00.00,480,144,,,,,,,,工作令号：航均-2022-8-50 18A01均衡修11,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由供应商提供） 按规程给全车蓄电池加液（备件由供应商提供）,N,N,,,,
5441074,18A01均衡修1,结束,18A01-18001,18A01-18001,RSSIE,西门子车辆部18#,计划修工单,2022-09-01-09.00.00,2022-09-01-16.00.00,480,144,,,,,,,,工作令号：航均-2022-9-1 18A01均衡修1,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由供应商提供） 按规程给全车空压机换油（备件由供应商提供）,N,N,,,,
5441078,18A01均衡修1,结束,18A01-18002,18A01-18002,RSSIE,西门子车辆部18#,计划修工单,2022-09-01-09.00.00,2022-09-01-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-2 18A01均衡修1,按规程完成均衡修 按规程更换全车空调混合风滤网 按规程更换空压机油,N,N,,,,
5443294,18A01均衡修4,结束,18A01-18032,18A01-18032,RSSIE,西门子车辆部18#,计划修工单,2022-09-02-09.00.00,2022-09-02-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-3 18A01均衡修4,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供） 2022年9月2日，18032车列车动态测试欠修，未安排试车线 2022年9月9日，18032车按规程完成列车动态测试，功能性测试,N,N,,,,
5443296,18A01均衡修11,结束,18A01-18044,18A01-18044,RSSIE,西门子车辆部18#,计划修工单,2022-09-02-09.00.00,2022-09-02-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-4 18A01均衡修11,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供） 按规程完成全车蓄电池加液（备件由西门子提供）,N,N,,,,
5445196,18A01均衡修1,结束,18A01-18014,18A01-18014,RSSIE,西门子车辆部18#,计划修工单,2022-09-03-09.00.00,2022-09-03-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-5 18A01均衡修1,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供） 按规程更换全车空压机油（备件由西门子提供）,N,N,,,,
5446907,18A01均衡修1,结束,18A01-18009,18A01-18009,RSSIE,西门子车辆部18#,计划修工单,2022-09-04-09.00.00,2022-09-04-17.00.00,480,144,,,,,,,,工作令号：航均-2022-9-6 18A01均衡修1,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由供应商提供） 按规程给全车空压机换油（备件由供应商提供）,N,N,,,,
5446915,18A01均衡修3,结束,18A01-18045,18A01-18045,RSSIE,西门子车辆部18#,计划修工单,2022-09-04-09.00.00,2022-09-04-17.00.00,480,144,,,,,,,,工作令号：航均-2022-9-7 18A01均衡修3,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由供应商提供）,N,N,,,,
5447087,18A01均衡修4,结束,18A01-18029,18A01-18029,RSSIE,西门子车辆部18#,计划修工单,2022-09-05-09.00.00,2022-09-09-19.00.00,6360,144,,,,,,,,工作令号：航均-2022-9-8 18A01均衡修4,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由供应商提供） 2022年9月5日，18029车列车性能测试欠修，未安排试车线 2022年9月9日，18029车按规程完成列车动态测试，功能性测试,N,N,,,,
5447100,18A01均衡修3,结束,18A01-18037,18A01-18037,RSSIE,西门子车辆部18#,计划修工单,2022-09-05-09.00.00,2022-09-05-17.00.00,480,144,,,,,,,,工作令号：航均-2022-9-9 18A01均衡修3,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由供应商提供）,N,N,,,,
5447346,18A01均衡修11,结束,18A01-18005,18A01-18005,RSSIE,西门子车辆部18#,计划修工单,2022-09-06-09.00.00,2022-09-06-17.00.00,480,144,,,,,,,,工作令号：航均-2022-9-10 18A01均衡修11,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由供应商提供） 按规程给全车蓄电池加液（备件由供应商提供）,N,N,,,,
5447352,18A01均衡修2,结束,18A01-18038,18A01-18038,RSSIE,西门子车辆部18#,计划修工单,2022-09-06-09.00.00,2022-09-06-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-11 18A01均衡修2,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供） 按规程更换全车齿轮箱油（备件由西门子提供）,N,N,,,,
5451124,18A01均衡修6,结束,18A01-18028,18A01-18028,RSSIE,西门子车辆部18#,计划修工单,2022-09-07-09.00.00,2022-09-07-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-12 18A01均衡修6,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供）,N,N,,,,
5451130,18A01均衡修4,结束,18A01-18030,18A01-18030,RSSIE,西门子车辆部18#,计划修工单,2022-09-07-09.00.00,2022-09-07-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-13 18A01均衡修4,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供） 2022年9月7日，18030车列车动态测试欠修，未安排试车线 2022年9月11日，18030车按规程完成列车动态测试,N,N,,,,
5452137,18A01均衡修2,结束,18A01-18040,18A01-18040,RSSIE,西门子车辆部18#,计划修工单,2022-09-08-09.00.00,2022-09-08-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-14 18A01均衡修2,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供） 按规程更换全车齿轮箱油（备件由西门子提供）,N,N,,,,
5452453,18A01均衡修10,结束,18A01-18021,18A01-18021,RSSIE,西门子车辆部18#,计划修工单,2022-09-09-09.00.00,2022-09-10-15.00.00,1800,144,,,,,,,,工作令号：航均-2022-9-15 18A01均衡修10,按规程完成均衡修 按规程更换全车空调混合风滤网(备件由供应商提供) 2022年9月9日，18021车列车性能测试欠修，未安排试车线 2022年9月10日，18021车按规程完成列车动态测试，功能性测试,N,N,,,,
5452456,18A01均衡修4,结束,18A01-18031,18A01-18031,RSSIE,西门子车辆部18#,计划修工单,2022-09-09-09.00.00,2022-09-10-11.00.00,1560,144,,,,,,,,工作令号：航均-2022-9-16 18A01均衡修4,按规程完成均衡修 按规程更换全车空调混合风滤网(备件由供应商提供) 2022年9月9日，18031车列车性能测试欠修，未安排试车线 2022年9月10日，18031车按规程完成列车动态测试，功能性测试,N,N,,,,
5453832,18A01均衡修4,结束,18A01-18011,18A01-18011,RSSIE,西门子车辆部18#,计划修工单,2022-09-10-09.00.00,2022-09-11-10.30.00,1530,144,,,,,,,,工作令号：航均-2022-9-17 18A01均衡修4,按规程完成均衡修 按规程更换全车空调混合风滤网(备件由供应商提供) 2022年9月10日，18011车列车性能测试欠修，未安排试车线 2022年9月11日，18011车按规程完成列车动态测试，功能性测试,N,N,,,,
5453998,18A01均衡修4,结束,18A01-18013,18A01-18013,RSSIE,西门子车辆部18#,计划修工单,2022-09-11-09.00.00,2022-09-11-17.00.00,480,144,,,,,,,,工作令号：航均-2022-9-18 18A01均衡修4,按规程完成均衡修 按规程更换全车空调混合风滤网(备件由供应商提供) 2022年9月11日，18013车列车性能测试欠修，未安排试车线 2022年9月12日按规程完成列车性能测试。,N,N,,,,
5454003,18A01均衡修1,结束,18A01-18048,18A01-18048,RSSIE,西门子车辆部18#,计划修工单,2022-09-11-09.00.00,2022-09-11-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-19 18A01均衡修1,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供） 按规程更换全车空压机油（备件由西门子提供）,N,N,,,,
5454207,18A01均衡修4,结束,18A01-18018,18A01-18018,RSSIE,西门子车辆部18#,计划修工单,2022-09-12-09.00.00,2022-09-12-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-20 18A01均衡修4,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供） 2022年9月12日，18018车列车动态性能测试欠修，未安排试车线 2022年9月17日，18018车按规程完成列车动态性能测试。,N,N,,,,
5454211,18A01均衡修3,结束,18A01-18036,18A01-18036,RSSIE,西门子车辆部18#,计划修工单,2022-09-12-09.00.00,2022-09-12-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-21 18A01均衡修3,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供）,N,N,,,,
5455098,18A01均衡修1,结束,18A01-18008,18A01-18008,RSSIE,西门子车辆部18#,计划修工单,2022-09-13-09.00.00,2022-09-13-17.00.00,480,120,,,,,,,,工作令号：航均-2022-9-22 18A01均衡修1,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由西门子提供） 按规程更换全车空压机油（备件由西门子提供）,N,N,,,,
5455236,18A01均衡修1,结束,18A01-18017,18A01-18017,RSSIE,西门子车辆部18#,计划修工单,2022-09-14-09.00.00,2022-09-14-17.00.00,480,144,,,,,,,,工作令号：航均-2022-9-23 18A01均衡修1,按规程完成均衡修 按规程更换全车空调混合风滤网（备件由供应商提供） 按规程给全车空压机换油（备件由供应商提供）,N,N,,,,
